technique,adoption,accuracy_retention,maturity
INT8 PTQ (per-channel),9.6,8.7,production
INT8 QAT,7.5,9.4,production
FP16/BF16 baseline,9.8,10.0,production
Weight-only INT4 (GPTQ/AWQ),8.8,8.2,production
FP8 (E4M3/E5M2),6.5,9.0,production
SmoothQuant W8A8,6.0,8.6,sdk
KV-cache INT8/INT4,6.8,8.3,sdk
INT4 W4A16 (LLM),8.4,7.9,production
INT4 weight+activation (W4A4),3.0,5.8,research
INT2 / ternary,2.2,4.5,research
Binary (1-bit) weights,1.3,3.2,research
QuIP# / incoherence 2-bit,2.6,6.4,research
QLoRA (NF4 fine-tune),7.2,8.8,production
Non-uniform / log quant,2.4,7.0,research
